mage_id,unc_on_5th_day,unc_on_10th_day
1010104,33.98954844474264,24.302440464144464
1011005,12.44720551114936,8.899720199915373
1011105,8.936054220298752,6.389255980444423
1010905,16.647457184497398,11.902889435655915
1011004,11.344165597683354,8.111049474555118
1010803,,
1011104,9.287893402001144,6.640820098166564
1010201,58.892556208920624,42.108027512497074
1010906,17.117692709988237,12.239106637274386
1010804,11.721588065682548,8.38090557674172
1011007,11.66244310687715,8.338617082016372
1011103,12.18106531340189,8.709430637187335
1010302,29.86991190436672,21.356910842909222
1010703,8.471912111914017,6.0573955565185145
1010202,inf,inf
1010101,51.267059017842584,36.65581646600583
1011006,11.306344233425119,8.084007295555514
1011002,31.696832733764687,22.663154577253884
1010502,16.073295759966932,11.492365481236675
1010702,12.470378622529493,8.916288915460395
1010904,20.43896637282837,14.613808836908582
1011001,22.917534389213966,16.385978648239526
1010901,28.92004041949837,20.677755153414555
1010503,9.752259309047375,6.972840537564753
1011102,27.001992620148492,19.30635586792938
1010204,32.419124406593426,23.17959128147209
1010801,22.42227049444148,16.031866226407388
1010102,41.85731143565622,29.92787093973678
1010701,43.30202321246717,30.96083617612041
1010504,9.052533776389964,6.472538566025065
1010105,28.10760020991051,20.096862475293673
1010207,53.36255834080038,38.15409313836668
1010907,14.962014105043371,10.697801931750833
1011003,17.911112172580303,12.806399529796458
1010903,23.585386366865137,16.863491109227787
1010103,25.771412595415775,18.42649428824258
1010908,16.66445944301307,11.915046007138612
1011106,10.172608812639202,7.273389360735518
1010808,32.53429317373017,23.261936656292818
1010809,50.08670600940739,35.811867074892135
1010403,18.464220667987696,13.201870693577977
1011112,,
1010806,12.648651226187354,9.043753372478013
1011009,19.414369796707998,13.881224897718795
1010805,11.765045715181655,8.411977685315938
1010203,46.75739075639889,33.43141515879373
1010409,13.346991582029776,9.543064946127208
1010402,32.403311739401886,23.168285264752665
1011111,43.541470216976734,31.13204017375138
1010404,14.002636275460532,10.011849230026623
1011110,22.95661825056026,16.41392350943771
1011008,16.01511405121816,11.450765707845514
1011107,21.325518059001546,15.247691031802612
1010706,17.575177224461,12.566206898530197
1010705,10.312953285535402,7.373735300975838
1010401,33.88956479692054,24.230952410911435
1010106,35.87524659354514,25.650709831980354
1011108,11.625731988468987,8.312368725968424
1010205,,
1010303,25.411176149759065,18.168926148206246
1010802,18.50923408662067,13.234055173115678
1010505,10.501482583490857,7.508533268261517
1011010,17.50970640981134,12.519395433007228
1011101,39.02977017699965,27.90618615006897
1011109,12.21607963569822,8.734465788342177
1010410,21.2686310113228,15.207016937775114
1010704,9.453503852042884,6.759231147637334
1010914,113.88126949510365,81.4248172900934
1010902,30.660196113952324,21.921962037526615
1010910,23.806223759625546,17.02138928191289
1010305,20.550240681633685,14.693369683953263
1010807,19.325207337583922,13.817473966810658
1010306,18.67766264265683,13.354481161186246
1010304,16.502729212519025,11.799409304749828
1010407,10.423821418768116,7.453005733521864
1010109,,
1010406,9.67530253086657,6.91781663740639
1010108,60.86003723178503,43.514771426739685
1010408,12.28430935812741,8.783249865892257
1010206,,
1010208,,
1010107,51.79018082536108,37.02984722441328
1010301,43.3982330438585,31.02962596022873
1010309,26.135772172312528,18.6870104566015
1010405,9.447157141121362,6.754693265512653
1010308,16.92639005462339,12.102325726513094
1011011,37.690092508456026,26.94832003325796
1011012,80.87892110985563,57.82822235111298
1010909,19.069262158381644,13.634473816344986
1010411,,
1010501,32.580689352114874,23.295109805526945
1010307,20.783777891732,14.860348193650252
1010911,35.816182131672115,25.608478892356377
1011013,,
1011113,,
1010912,,
1010913,43.13538405023864,30.841689600059322
1010707,51.012767190996186,36.47399845825854
1010810,174.97361466773816,125.10568830215182
1010209,,
1010412,71.63840175054473,51.22127457266543
